arm_a,arm_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_prob_a_worse,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_prob_a_worse,average_precision_significant
mlp_lr3e-4,attention_lr3e-4,-0.03418058156967163,-0.04330726414918899,-0.025407248735427858,0.0,1.0,True,-0.04052543640136719,-0.05165141671895981,-0.02937334030866625,0.0,1.0,True
mlp_lr3e-4,attention_pe_lr1e-4,-0.04819917678833008,-0.05960515737533569,-0.03648513406515124,0.0,1.0,True,-0.04808121919631958,-0.06324755102396011,-0.03312436044216158,0.0,1.0,True
mlp_lr3e-4,attention_pe_lr3e-5,-0.06327253580093384,-0.0756637543439865,-0.05117840021848679,0.0,1.0,True,-0.06431955099105835,-0.07998524457216263,-0.04886399358510972,0.0,1.0,True
mlp_lr3e-4,attention_pe_lr3e-4,-0.0003465414047241211,-0.015088209509849548,0.013976337015628781,0.485,0.515,False,0.00962287187576294,-0.01393512636423111,0.033307266235351546,0.784,0.216,False
cnn_lr1e-4,cnn_lr3e-5,-0.009861409664154053,-0.01539335995912552,-0.00445789694786072,0.0,1.0,True,-0.013493061065673828,-0.020862792432308198,-0.006310904026031501,0.0,1.0,True
cnn_lr1e-4,cnn_lr3e-4,0.01680678129196167,0.011266224086284637,0.022491349279880522,1.0,0.0,True,0.01658254861831665,0.009638722240924835,0.02385832667350768,1.0,0.0,True
cnn_lr1e-4,gru_lr1e-4,-0.004152655601501465,-0.011869029700756073,0.0031185567378997753,0.142,0.858,False,-0.005091309547424316,-0.014613911509513855,0.004367722570896138,0.1585,0.8415,False
cnn_lr1e-4,gru_lr3e-5,-0.01641136407852173,-0.025539346039295197,-0.007239165902137757,0.0,1.0,True,-0.013296127319335938,-0.02527553290128708,-0.0007084041833877612,0.02,0.98,True
cnn_lr1e-4,gru_lr3e-4,0.03001493215560913,0.021596628427505492,0.03876430541276932,1.0,0.0,True,0.03364032506942749,0.02181258946657181,0.04563843309879303,1.0,0.0,True
cnn_lr1e-4,attention_lr1e-4,-0.020621836185455322,-0.029915818572044374,-0.0116447851061821,0.0,1.0,True,-0.02411782741546631,-0.03496296852827072,-0.013199302554130559,0.0,1.0,True
cnn_lr1e-4,attention_lr3e-5,-0.027008533477783203,-0.03650844842195511,-0.01763280034065247,0.0,1.0,True,-0.027230679988861084,-0.03843618333339691,-0.016569779813289647,0.0,1.0,True
cnn_lr1e-4,attention_lr3e-4,-0.0025139451026916504,-0.009763653576374053,0.004212664067745206,0.223,0.777,False,-0.004685163497924805,-0.013489556312561036,0.0042883962392807,0.1475,0.8525,False
cnn_lr1e-4,attention_pe_lr1e-4,-0.016532540321350098,-0.02682023197412491,-0.00605050474405289,0.0015,0.9985,True,-0.012240946292877197,-0.024778912961483,-0.00016121715307238426,0.025,0.975,True
cnn_lr1e-4,attention_pe_lr3e-5,-0.03160589933395386,-0.04156995862722397,-0.02203986793756486,0.0,1.0,True,-0.028479278087615967,-0.04013115018606186,-0.01710518598556519,0.0,1.0,True
cnn_lr1e-4,attention_pe_lr3e-4,0.03132009506225586,0.016536472737789153,0.046107366681098924,1.0,0.0,True,0.04546314477920532,0.02307028919458389,0.06914906352758407,1.0,0.0,True
