head,agg,method,k,accuracy,ci_low,ci_high,diff_vs_majority,diff_vs_majority_ci_low,diff_vs_majority_ci_high,p_vs_majority,p_holm_vs_majority,n_questions
gru,last,argmax,2,0.32892343401908875,0.3106131605803967,0.34787907004356383,0.020015163347125053,0.014554586121812462,0.025512700388208027,0.0009995002498750624,0.035982008995502246,1319
gru,last,argmax,4,0.34605762362480164,0.32642052322626114,0.3658463001251221,-0.028241092339158058,-0.03597516724839807,-0.019938400387763983,0.0009995002498750624,0.035982008995502246,1319
gru,last,argmax,8,0.36072781682014465,0.33938021063804624,0.38313401862978935,-0.07054586708545685,-0.08419352173805236,-0.05667171999812126,0.0009995002498750624,0.035982008995502246,1319
gru,last,argmax,16,0.3798332214355469,0.35479530692100525,0.4063874177634715,-0.08567096292972565,-0.10919257197529078,-0.0629075026139618,0.0009995002498750624,0.035982008995502246,1319
gru,last,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
gru,last,weighted_vote,2,0.32892343401908875,0.3106131605803967,0.34787907004356383,0.020015163347125053,0.014554586121812462,0.025512700388208027,0.0009995002498750624,0.035982008995502246,1319
gru,last,weighted_vote,4,0.3632676601409912,0.34268195629119874,0.3839281737804413,-0.011031083762645721,-0.017894235579296945,-0.0038656170538161,0.0029985007496251873,0.04497751124437781,1319
gru,last,weighted_vote,8,0.4016300141811371,0.37850360944867134,0.425552499294281,-0.029643671587109566,-0.039464559964835645,-0.01986163747496904,0.0009995002498750624,0.035982008995502246,1319
gru,last,weighted_vote,16,0.43366187810897827,0.40712660551071167,0.46095526218414307,-0.03184230625629425,-0.05003790929913521,-0.013646702282130718,0.001999000499750125,0.035982008995502246,1319
attention,min,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,min,argmax,2,0.33210763335227966,0.3142873875796795,0.35079891607165337,0.02319939434528351,0.01781652681529522,0.028620163071900608,0.0009995002498750624,0.035982008995502246,1319
attention,min,argmax,4,0.3485216200351715,0.32930251955986023,0.36849980875849725,-0.025777103379368782,-0.034422860108315946,-0.0174374524038285,0.0009995002498750624,0.035982008995502246,1319
attention,min,argmax,8,0.3576573133468628,0.3353638887405396,0.3800246298313141,-0.07361637055873871,-0.08707353491336108,-0.06099222833290697,0.0009995002498750624,0.035982008995502246,1319
attention,min,argmax,16,0.3586049973964691,0.3320697546005249,0.3859173648059367,-0.10689916461706161,-0.1304018199443817,-0.08567096292972565,0.0009995002498750624,0.035982008995502246,1319
attention,min,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,min,weighted_vote,2,0.33210763335227966,0.3142873875796795,0.35079891607165337,0.02319939434528351,0.01781652681529522,0.028620163071900608,0.0009995002498750624,0.035982008995502246,1319
attention,min,weighted_vote,4,0.3763457238674164,0.3557212226092815,0.3978771582245827,0.0020470053423196077,-0.004360310372430831,0.008417361532337953,0.5167416291854073,1.0,1319
attention,min,weighted_vote,8,0.4199393689632416,0.3959022104740143,0.44431669786572453,-0.011334342882037163,-0.020054019568488003,-0.002349317498737951,0.01199400299850075,0.095952023988006,1319
attention,min,weighted_vote,16,0.4564063549041748,0.42835479974746704,0.48521608114242554,-0.009097801521420479,-0.025037908367812632,0.007581501267850399,0.2868565717141429,1.0,1319
attention,mean,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,mean,argmax,2,0.33294162154197693,0.31504736468195915,0.35136564895510675,0.024033358320593834,0.018535821139812468,0.029681578278541565,0.0009995002498750624,0.035982008995502246,1319
