head,agg,method,k,accuracy,ci_low,ci_high,diff_vs_majority,diff_vs_majority_ci_low,diff_vs_majority_ci_high,p_vs_majority,p_holm_vs_majority,n_questions
linear,last,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,last,argmax,2,0.3358604907989502,0.31804302930831907,0.35523501709103583,0.026952233165502548,0.02149165696464479,0.03263930743560194,0.0009995002498750624,0.035982008995502246,1319
linear,last,argmax,4,0.35102346539497375,0.33104435801506044,0.3713874332606792,-0.023275209590792656,-0.03161675408482552,-0.01508718729019165,0.0009995002498750624,0.035982008995502246,1319
linear,last,argmax,8,0.3529568016529083,0.3316480226814747,0.3750578105449677,-0.07831691205501556,-0.09116850197315216,-0.06466356404125694,0.0009995002498750624,0.035982008995502246,1319
linear,last,argmax,16,0.3426838517189026,0.31690675020217896,0.36997726559638977,-0.12282031774520874,-0.14710007570683956,-0.09780136495828629,0.0009995002498750624,0.035982008995502246,1319
linear,last,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
linear,last,weighted_vote,2,0.3358604907989502,0.31804302930831907,0.35523501709103583,0.026952233165502548,0.02149165696464479,0.03263930743560194,0.0009995002498750624,0.035982008995502246,1319
linear,last,weighted_vote,4,0.37096282839775085,0.350037931650877,0.39207830280065536,-0.003335860325023532,-0.010235974146053196,0.0032989008643198705,0.3428285857071464,1.0,1319
linear,last,weighted_vote,8,0.4050796329975128,0.3811969220638275,0.42835479974746704,-0.02619408257305622,-0.035746775567531586,-0.01671626088209451,0.0009995002498750624,0.035982008995502246,1319
linear,last,weighted_vote,16,0.44124338030815125,0.4131918251514435,0.4692949056625366,-0.024260804057121277,-0.042456407099962234,-0.006823351141065359,0.00399800099950025,0.051974012993503245,1319
mlp,min,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
mlp,min,argmax,2,0.32862016558647156,0.3102729320526123,0.3473843641579151,0.019711902365088463,0.01440485194325447,0.024868273641914126,0.0009995002498750624,0.035982008995502246,1319
mlp,min,argmax,4,0.3459818363189697,0.32668404579162597,0.3661533586680889,-0.028316905722022057,-0.03684704517945647,-0.019901441363617777,0.0009995002498750624,0.035982008995502246,1319
mlp,min,argmax,8,0.35663384199142456,0.3357847034931183,0.3784334771335125,-0.07463987916707993,-0.08939253073185682,-0.06050037955865264,0.0009995002498750624,0.035982008995502246,1319
mlp,min,argmax,16,0.36012130975723267,0.3358604907989502,0.3866565525531769,-0.10538286715745926,-0.13042077384889125,-0.0803639143705368,0.0009995002498750624,0.035982008995502246,1319
mlp,min,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
mlp,min,weighted_vote,2,0.32862016558647156,0.3102729320526123,0.3473843641579151,0.019711902365088463,0.01440485194325447,0.024868273641914126,0.0009995002498750624,0.035982008995502246,1319
