head,agg,method,k,accuracy,ci_low,ci_high,diff_vs_majority,diff_vs_majority_ci_low,diff_vs_majority_ci_high,p_vs_majority,p_holm_vs_majority,n_questions
mlp,last,argmax,16,0.35708871483802795,0.3313116133213043,0.38362395763397217,-0.10841546952724457,-0.13267627358436584,-0.08491281419992447,0.0009995002498750624,0.017991004497751123,1319
mlp,last,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
mlp,last,weighted_vote,2,0.3292645812034607,0.31152107045054434,0.34787717536091806,0.020356329157948494,0.015163002489134669,0.025778051046654576,0.0009995002498750624,0.017991004497751123,1319
mlp,last,weighted_vote,4,0.38415461778640747,0.36303920298814774,0.4061846077442169,0.009855951182544231,0.005610310926567763,0.014064632845111186,0.0009995002498750624,0.017991004497751123,1319
mlp,last,weighted_vote,8,0.4362396001815796,0.4122033901512623,0.4602350302040577,0.0049658832140266895,0.0009088321297895164,0.008870355784893036,0.01899050474762619,0.04497751124437781,1319
mlp,last,weighted_vote,16,0.47536012530326843,0.44730857014656067,0.5018953680992126,0.009855951182544231,-0.0015163002535700798,0.021228203549981117,0.111944027986007,0.559720139930035,1319
attention,min,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,min,argmax,2,0.32782411575317383,0.3097801491618156,0.34640164375305177,0.018915845081210136,0.013645752752199768,0.024225740367546662,0.0009995002498750624,0.017991004497751123,1319
attention,min,argmax,4,0.33824867010116577,0.31899169012904166,0.357354074716568,-0.03605003282427788,-0.04469579150900245,-0.027329412195831546,0.0009995002498750624,0.017991004497751123,1319
attention,min,argmax,8,0.3343062698841095,0.3133756577968597,0.3560661315917969,-0.09696739166975021,-0.11179018132388592,-0.08275018353015186,0.0009995002498750624,0.017991004497751123,1319
attention,min,argmax,16,0.33661866188049316,0.31008338928222656,0.36163759231567383,-0.12888552248477936,-0.15390446782112122,-0.10462471842765808,0.0009995002498750624,0.017991004497751123,1319
